User ID,Name,Email Address,Age,Gender,Membership Start Date,Membership End Date,Subscription Plan,Renewal Status,Engagement Level,Subscription Renewed
9641,Amanda West,christopher47@gmail.com,24,Male,18-11-2023,07-11-2024,Quarterly,Manual,Medium,Not Renewed
9641,Amanda West,christopher47@gmail.com,24,Male,07-11-2024,06-02-2025,Quarterly,Auto-Renew,Medium,Renewed
9641,Amanda West,christopher47@gmail.com,24,Male,06-02-2025,22-02-2025,Annual,Auto-Renew,Low,Renewed
9641,Amanda West,christopher47@gmail.com,24,Male,22-02-2025,01-03-2025,Quarterly,Auto-Renew,High,Renewed
1242,Andrew Serrano,jake15@wilson.info,19,Female,29-12-2023,18-02-2025,Monthly,Auto-Renew,Medium,Renewed
1242,Andrew Serrano,jake15@wilson.info,19,Female,18-02-2025,18-03-2025,Monthly,Manual,Low,Renewed
1242,Andrew Serrano,jake15@wilson.info,19,Female,18-03-2025,21-03-2025,Monthly,Auto-Renew,Low,Not Renewed
4283,Crystal Ayala,amanda04@yahoo.com,23,Male,27-10-2024,30-12-2024,Annual,Auto-Renew,High,Renewed
4283,Crystal Ayala,amanda04@yahoo.com,23,Male,30-12-2024,15-02-2025,Quarterly,Manual,High,Not Renewed
4283,Crystal Ayala,amanda04@yahoo.com,23,Male,15-02-2025,28-02-2025,Annual,Manual,High,Renewed
4283,Crystal Ayala,amanda04@yahoo.com,23,Male,28-02-2025,06-03-2025,Annual,Auto-Renew,Low,Not Renewed
4283,Crystal Ayala,amanda04@yahoo.com,23,Male,06-03-2025,13-03-2025,Annual,Manual,High,Renewed
6945,Robert Clark,brookerojas@gmail.com,19,Other,02-05-2024,03-01-2025,Quarterly,Auto-Renew,Low,Renewed
1790,Michael Dunlap,cynthiaburke@smith-ponce.com,33,Female,12-01-2025,15-01-2025,Quarterly,Auto-Renew,High,Renewed
5205,Brianna Singleton,curtisbrown@dunn.com,25,Female,03-06-2022,05-08-2022,Monthly,Manual,Medium,Renewed
5205,Brianna Singleton,curtisbrown@dunn.com,25,Female,05-08-2022,19-10-2022,Monthly,Auto-Renew,Medium,Renewed
5205,Brianna Singleton,curtisbrown@dunn.com,25,Female,19-10-2022,27-04-2024,Monthly,Auto-Renew,High,Renewed
5205,Brianna Singleton,curtisbrown@dunn.com,25,Female,27-04-2024,27-11-2024,Quarterly,Manual,Low,Renewed
7729,Cindy Johnson,alison92@gmail.com,20,Female,01-10-2023,12-12-2023,Monthly,Auto-Renew,Medium,Renewed
7729,Cindy Johnson,alison92@gmail.com,20,Female,12-12-2023,02-08-2024,Monthly,Manual,Low,Not Renewed
7729,Cindy Johnson,alison92@gmail.com,20,Female,02-08-2024,16-12-2024,Monthly,Auto-Renew,Medium,Not Renewed
7729,Cindy Johnson,alison92@gmail.com,20,Female,16-12-2024,09-03-2025,Quarterly,Auto-Renew,Medium,Not Renewed
7729,Cindy Johnson,alison92@gmail.com,20,Female,09-03-2025,21-03-2025,Monthly,Auto-Renew,Medium,Renewed
6258,Catherine Combs,erickeith@wright.com,42,Female,21-06-2024,16-07-2024,Quarterly,Auto-Renew,Low,Not Renewed
6258,Catherine Combs,erickeith@wright.com,42,Female,16-07-2024,25-09-2024,Annual,Auto-Renew,Medium,Renewed
6523,Chad Davis,marcusjackson@navarro-kelley.com,39,Female,28-08-2024,21-03-2025,Quarterly,Manual,Medium,Renewed
6045,Amy Jensen,kellybrooke@marks.com,18,Female,13-10-2023,02-03-2024,Monthly,Manual,Medium,Renewed
6045,Amy Jensen,kellybrooke@marks.com,18,Female,02-03-2024,12-08-2024,Monthly,Manual,Medium,Renewed
6045,Amy Jensen,kellybrooke@marks.com,18,Female,12-08-2024,22-12-2024,Annual,Auto-Renew,Medium,Not Renewed
6045,Amy Jensen,kellybrooke@marks.com,18,Female,22-12-2024,03-01-2025,Monthly,Manual,Medium,Renewed
1459,Janet Kennedy,gouldlinda@gmail.com,33,Female,28-08-2024,09-02-2025,Annual,Manual,Low,Renewed
1459,Janet Kennedy,gouldlinda@gmail.com,33,Female,09-02-2025,21-02-2025,Monthly,Manual,Low,Renewed
1459,Janet Kennedy,gouldlinda@gmail.com,33,Female,21-02-2025,14-03-2025,Monthly,Manual,Low,Renewed
1459,Janet Kennedy,gouldlinda@gmail.com,33,Female,14-03-2025,16-03-2025,Quarterly,Auto-Renew,Medium,Renewed
1459,Janet Kennedy,gouldlinda@gmail.com,33,Female,16-03-2025,16-03-2025,Monthly,Manual,High,Renewed
2287,Linda Scott,blackwellmelvin@elliott.com,29,Female,03-06-2023,11-11-2023,Quarterly,Manual,Low,Renewed
2287,Linda Scott,blackwellmelvin@elliott.com,29,Female,11-11-2023,16-11-2024,Monthly,Manual,Medium,Renewed
2287,Linda Scott,blackwellmelvin@elliott.com,29,Female,16-11-2024,11-03-2025,Quarterly,Auto-Renew,Medium,Renewed
2287,Linda Scott,blackwellmelvin@elliott.com,29,Female,11-03-2025,12-03-2025,Quarterly,Manual,High,Renewed
1960,Greg Hunt,greynolds@gmail.com,41,Female,03-07-2023,30-10-2023,Monthly,Auto-Renew,Low,Renewed
1960,Greg Hunt,greynolds@gmail.com,41,Female,30-10-2023,23-06-2024,Monthly,Manual,Medium,Renewed
9702,Brandon Barton,bsmith@gmail.com,24,Female,16-11-2023,26-06-2024,Annual,Manual,Low,Renewed
9702,Brandon Barton,bsmith@gmail.com,24,Female,26-06-2024,23-12-2024,Annual,Manual,Low,Not Renewed
9702,Brandon Barton,bsmith@gmail.com,24,Female,23-12-2024,27-01-2025,Annual,Manual,High,Renewed
9702,Brandon Barton,bsmith@gmail.com,24,Female,27-01-2025,14-02-2025,Annual,Manual,Low,Renewed
5248,Emma Robinson,csmith@barton-hicks.net,26,Female,03-01-2024,15-09-2024,Quarterly,Auto-Renew,High,Renewed
5248,Emma Robinson,csmith@barton-hicks.net,26,Female,15-09-2024,31-01-2025,Quarterly,Manual,Low,Not Renewed
5248,Emma Robinson,csmith@barton-hicks.net,26,Female,31-01-2025,13-03-2025,Quarterly,Auto-Renew,Low,Renewed
5248,Emma Robinson,csmith@barton-hicks.net,26,Female,13-03-2025,19-03-2025,Monthly,Auto-Renew,Low,Renewed
5248,Emma Robinson,csmith@barton-hicks.net,26,Female,19-03-2025,20-03-2025,Quarterly,Auto-Renew,Medium,Renewed
9539,Eric Meyer,aroberts@hotmail.com,42,Female,17-05-2024,17-09-2024,Monthly,Auto-Renew,High,Renewed
9539,Eric Meyer,aroberts@hotmail.com,42,Female,17-09-2024,05-02-2025,Quarterly,Manual,Medium,Renewed
9539,Eric Meyer,aroberts@hotmail.com,42,Female,05-02-2025,16-03-2025,Quarterly,Auto-Renew,Low,Not Renewed
8444,Alicia Williams,emilybarber@gmail.com,20,Male,19-08-2024,18-09-2024,Monthly,Auto-Renew,High,Not Renewed
8444,Alicia Williams,emilybarber@gmail.com,20,Male,18-09-2024,18-12-2024,Monthly,Manual,Medium,Renewed
8444,Alicia Williams,emilybarber@gmail.com,20,Male,18-12-2024,08-03-2025,Quarterly,Manual,Medium,Renewed
7923,Anthony Smith,angela85@hotmail.com,19,Male,13-04-2022,17-11-2022,Monthly,Auto-Renew,Low,Not Renewed
7923,Anthony Smith,angela85@hotmail.com,19,Male,17-11-2022,10-11-2024,Annual,Manual,Medium,Renewed
7923,Anthony Smith,angela85@hotmail.com,19,Male,10-11-2024,22-02-2025,Quarterly,Auto-Renew,Low,Renewed
7923,Anthony Smith,angela85@hotmail.com,19,Male,22-02-2025,12-03-2025,Monthly,Auto-Renew,Medium,Not Renewed
7923,Anthony Smith,angela85@hotmail.com,19,Male,12-03-2025,18-03-2025,Monthly,Auto-Renew,Low,Not Renewed
2988,Erica Chavez,michelebanks@burns-malone.com,22,Other,06-12-2022,18-10-2023,Monthly,Auto-Renew,Low,Renewed
3468,Ashley Hines,devin79@gmail.com,38,Female,25-10-2024,23-12-2024,Quarterly,Auto-Renew,Low,Renewed
3468,Ashley Hines,devin79@gmail.com,38,Female,23-12-2024,29-12-2024,Annual,Auto-Renew,Medium,Renewed
7645,Alexandria Doyle,cthomas@bennett.com,29,Male,28-06-2023,10-09-2024,Monthly,Manual,High,Renewed
7645,Alexandria Doyle,cthomas@bennett.com,29,Male,10-09-2024,06-01-2025,Monthly,Manual,Medium,Renewed
7645,Alexandria Doyle,cthomas@bennett.com,29,Male,06-01-2025,19-03-2025,Quarterly,Manual,High,Not Renewed
7643,Robert Page,angel00@gmail.com,46,Male,19-08-2023,15-08-2024,Annual,Manual,High,Renewed
7643,Robert Page,angel00@gmail.com,46,Male,15-08-2024,10-09-2024,Monthly,Auto-Renew,Low,Renewed
7049,Adam Melendez,jose26@cook-thomas.biz,42,Female,06-09-2024,06-10-2024,Annual,Auto-Renew,Low,Renewed
7049,Adam Melendez,jose26@cook-thomas.biz,42,Female,06-10-2024,15-01-2025,Annual,Auto-Renew,Medium,Renewed
9501,Dustin Cunningham,crystal30@hernandez.com,22,Male,14-04-2024,13-08-2024,Quarterly,Manual,Low,Renewed
9501,Dustin Cunningham,crystal30@hernandez.com,22,Male,13-08-2024,18-03-2025,Quarterly,Manual,Medium,Renewed
9501,Dustin Cunningham,crystal30@hernandez.com,22,Male,18-03-2025,18-03-2025,Annual,Manual,High,Renewed
8812,Alyssa Shepherd,caseyholt@hotmail.com,25,Female,13-09-2023,26-11-2023,Monthly,Auto-Renew,High,Not Renewed
8812,Alyssa Shepherd,caseyholt@hotmail.com,25,Female,26-11-2023,12-05-2024,Monthly,Manual,High,Not Renewed
1848,David Ramsey,castillojessica@williams.info,37,Male,14-09-2024,15-03-2025,Quarterly,Auto-Renew,High,Renewed
1848,David Ramsey,castillojessica@williams.info,37,Male,15-03-2025,21-03-2025,Annual,Manual,Medium,Renewed
1848,David Ramsey,castillojessica@williams.info,37,Male,21-03-2025,21-03-2025,Quarterly,Auto-Renew,Low,Not Renewed
4157,Lisa Terry,amarquez@hotmail.com,51,Male,28-11-2022,26-11-2023,Annual,Auto-Renew,Low,Renewed
4157,Lisa Terry,amarquez@hotmail.com,51,Male,26-11-2023,03-11-2024,Annual,Manual,Low,Renewed
6090,Annette Williamson,amandamiller@nguyen.com,18,Male,26-07-2023,12-11-2023,Quarterly,Manual,Medium,Renewed
6090,Annette Williamson,amandamiller@nguyen.com,18,Male,12-11-2023,27-01-2025,Annual,Manual,High,Renewed
6090,Annette Williamson,amandamiller@nguyen.com,18,Male,27-01-2025,10-02-2025,Monthly,Auto-Renew,High,Renewed
6090,Annette Williamson,amandamiller@nguyen.com,18,Male,10-02-2025,27-02-2025,Quarterly,Auto-Renew,Low,Not Renewed
6090,Annette Williamson,amandamiller@nguyen.com,18,Male,27-02-2025,12-03-2025,Quarterly,Manual,High,Renewed
1138,Darlene King,brentmitchell@yahoo.com,19,Male,28-07-2024,08-12-2024,Quarterly,Auto-Renew,Medium,Renewed
1138,Darlene King,brentmitchell@yahoo.com,19,Male,08-12-2024,12-03-2025,Annual,Auto-Renew,Low,Renewed
1138,Darlene King,brentmitchell@yahoo.com,19,Male,12-03-2025,15-03-2025,Quarterly,Auto-Renew,Low,Renewed
7663,Heather Henry,gillespiealexis@rivera.info,28,Female,08-11-2022,09-11-2023,Annual,Auto-Renew,Medium,Renewed
7663,Heather Henry,gillespiealexis@rivera.info,28,Female,09-11-2023,03-09-2024,Quarterly,Auto-Renew,Low,Renewed
7663,Heather Henry,gillespiealexis@rivera.info,28,Female,03-09-2024,20-03-2025,Monthly,Manual,Low,Renewed
7663,Heather Henry,gillespiealexis@rivera.info,28,Female,20-03-2025,21-03-2025,Annual,Auto-Renew,Low,Renewed
2663,April Gordon,chelsea08@yahoo.com,27,Female,11-05-2024,12-01-2025,Quarterly,Auto-Renew,High,Not Renewed
2663,April Gordon,chelsea08@yahoo.com,27,Female,12-01-2025,17-02-2025,Quarterly,Auto-Renew,Low,Not Renewed
2663,April Gordon,chelsea08@yahoo.com,27,Female,17-02-2025,02-03-2025,Monthly,Manual,Medium,Renewed
2663,April Gordon,chelsea08@yahoo.com,27,Female,02-03-2025,12-03-2025,Quarterly,Auto-Renew,High,Renewed
2663,April Gordon,chelsea08@yahoo.com,27,Female,12-03-2025,14-03-2025,Monthly,Auto-Renew,Low,Renewed
8360,Adriana Rojas,awhite@hotmail.com,23,Female,12-07-2024,06-10-2024,Annual,Manual,High,Renewed
8360,Adriana Rojas,awhite@hotmail.com,23,Female,06-10-2024,20-03-2025,Annual,Manual,High,Renewed
8360,Adriana Rojas,awhite@hotmail.com,23,Female,20-03-2025,21-03-2025,Annual,Manual,High,Renewed
2545,Claire Vaughn,cynthia76@rivas.org,22,Male,29-01-2023,11-08-2023,Annual,Auto-Renew,High,Not Renewed
2545,Claire Vaughn,cynthia76@rivas.org,22,Male,11-08-2023,03-12-2023,Monthly,Auto-Renew,High,Renewed
2545,Claire Vaughn,cynthia76@rivas.org,22,Male,03-12-2023,02-01-2024,Annual,Auto-Renew,High,Not Renewed
2545,Claire Vaughn,cynthia76@rivas.org,22,Male,02-01-2024,14-10-2024,Monthly,Manual,Low,Renewed
9164,Eric Wilson,jennifermcneil@hotmail.com,42,Female,03-01-2023,05-01-2023,Quarterly,Auto-Renew,Medium,Renewed
1221,Christy Allen,combsterri@gmail.com,37,Male,05-06-2022,19-10-2022,Annual,Manual,Low,Renewed
1221,Christy Allen,combsterri@gmail.com,37,Male,19-10-2022,10-09-2024,Quarterly,Manual,Medium,Not Renewed
1221,Christy Allen,combsterri@gmail.com,37,Male,10-09-2024,17-03-2025,Quarterly,Manual,High,Renewed
5840,Elizabeth Rivera,jasonwelch@harrison.com,47,Female,21-05-2023,10-02-2025,Annual,Auto-Renew,Medium,Renewed
5253,Tyler Cox,wmckee@hotmail.com,47,Female,17-07-2022,13-01-2023,Annual,Auto-Renew,Medium,Renewed
1867,Denise Romero,allenbecky@schroeder.com,47,Female,26-06-2022,01-09-2024,Annual,Auto-Renew,Low,Renewed
1867,Denise Romero,allenbecky@schroeder.com,47,Female,01-09-2024,28-10-2024,Monthly,Auto-Renew,Medium,Renewed
5785,Andrew Snow,millermelissa@gmail.com,41,Male,15-05-2022,17-09-2024,Annual,Manual,Medium,Renewed
7851,Emily Schmidt,brittany94@hotmail.com,36,Male,09-03-2023,01-03-2025,Quarterly,Manual,Medium,Not Renewed
7851,Emily Schmidt,brittany94@hotmail.com,36,Male,01-03-2025,19-03-2025,Quarterly,Auto-Renew,Medium,Not Renewed
7851,Emily Schmidt,brittany94@hotmail.com,36,Male,19-03-2025,20-03-2025,Annual,Auto-Renew,Medium,Renewed
2449,Alejandra Cooper,angieanderson@gmail.com,26,Male,01-08-2023,17-03-2024,Annual,Auto-Renew,Low,Renewed
2449,Alejandra Cooper,angieanderson@gmail.com,26,Male,17-03-2024,05-11-2024,Quarterly,Manual,Low,Renewed
2449,Alejandra Cooper,angieanderson@gmail.com,26,Male,05-11-2024,20-03-2025,Annual,Manual,Low,Not Renewed
2449,Alejandra Cooper,angieanderson@gmail.com,26,Male,20-03-2025,21-03-2025,Annual,Manual,Medium,Renewed
2449,Alejandra Cooper,angieanderson@gmail.com,26,Male,21-03-2025,21-03-2025,Quarterly,Manual,Low,Renewed
8891,Jennifer Garcia,webbjames@gates.com,34,Male,08-11-2024,01-03-2025,Quarterly,Manual,High,Renewed
5067,Felicia Evans,dwhite@jones-harrington.com,53,Female,04-05-2023,08-02-2024,Quarterly,Auto-Renew,Low,Renewed
5067,Felicia Evans,dwhite@jones-harrington.com,53,Female,08-02-2024,15-02-2025,Quarterly,Manual,Medium,Not Renewed
5067,Felicia Evans,dwhite@jones-harrington.com,53,Female,15-02-2025,07-03-2025,Monthly,Auto-Renew,High,Renewed
5067,Felicia Evans,dwhite@jones-harrington.com,53,Female,07-03-2025,21-03-2025,Quarterly,Auto-Renew,Medium,Not Renewed
5067,Felicia Evans,dwhite@jones-harrington.com,53,Female,21-03-2025,21-03-2025,Annual,Manual,High,Renewed
1272,Frank Krueger,alfredhamilton@koch-walker.com,26,Female,04-09-2023,11-03-2024,Monthly,Auto-Renew,Low,Renewed
1272,Frank Krueger,alfredhamilton@koch-walker.com,26,Female,11-03-2024,01-12-2024,Annual,Auto-Renew,Medium,Not Renewed
1272,Frank Krueger,alfredhamilton@koch-walker.com,26,Female,01-12-2024,01-12-2024,Annual,Manual,High,Renewed
1272,Frank Krueger,alfredhamilton@koch-walker.com,26,Female,01-12-2024,04-03-2025,Monthly,Manual,Medium,Renewed
1272,Frank Krueger,alfredhamilton@koch-walker.com,26,Female,04-03-2025,19-03-2025,Quarterly,Auto-Renew,Medium,Not Renewed
2138,Ann Delgado,johnguzman@lopez-flores.com,24,Female,01-01-2024,24-01-2025,Quarterly,Auto-Renew,Low,Not Renewed
2138,Ann Delgado,johnguzman@lopez-flores.com,24,Female,24-01-2025,29-01-2025,Monthly,Auto-Renew,High,Renewed
2138,Ann Delgado,johnguzman@lopez-flores.com,24,Female,29-01-2025,25-02-2025,Annual,Manual,High,Not Renewed
8958,Carl Martin,jbarnett@gmail.com,39,Male,20-06-2023,31-07-2024,Monthly,Manual,Medium,Renewed
8958,Carl Martin,jbarnett@gmail.com,39,Male,31-07-2024,10-10-2024,Quarterly,Manual,Low,Renewed
8958,Carl Martin,jbarnett@gmail.com,39,Male,10-10-2024,04-03-2025,Quarterly,Auto-Renew,Low,Renewed
2666,Darren Michael,barrreginald@morgan.com,20,Male,17-11-2024,17-02-2025,Quarterly,Auto-Renew,Medium,Renewed
2666,Darren Michael,barrreginald@morgan.com,20,Male,17-02-2025,10-03-2025,Quarterly,Auto-Renew,High,Renewed
2666,Darren Michael,barrreginald@morgan.com,20,Male,10-03-2025,10-03-2025,Quarterly,Manual,Medium,Not Renewed
5965,Kelly Evans,harveyshelly@tucker-ford.com,63,Male,31-03-2023,03-07-2024,Annual,Auto-Renew,High,Renewed
3069,Brenda Patterson DVM,apalmer@peterson.com,23,Female,01-11-2023,16-01-2024,Annual,Manual,High,Renewed
3069,Brenda Patterson DVM,apalmer@peterson.com,23,Female,16-01-2024,10-05-2024,Annual,Manual,Low,Not Renewed
3069,Brenda Patterson DVM,apalmer@peterson.com,23,Female,10-05-2024,08-09-2024,Quarterly,Manual,Low,Not Renewed
3069,Brenda Patterson DVM,apalmer@peterson.com,23,Female,08-09-2024,19-10-2024,Quarterly,Auto-Renew,Low,Not Renewed
3069,Brenda Patterson DVM,apalmer@peterson.com,23,Female,19-10-2024,17-03-2025,Quarterly,Auto-Renew,High,Renewed
8252,Angela Baird,alex53@richards.com,26,Male,07-03-2024,04-07-2024,Monthly,Auto-Renew,Low,Renewed
8252,Angela Baird,alex53@richards.com,26,Male,04-07-2024,17-11-2024,Quarterly,Manual,Low,Renewed
8252,Angela Baird,alex53@richards.com,26,Male,17-11-2024,06-02-2025,Annual,Manual,High,Not Renewed
8252,Angela Baird,alex53@richards.com,26,Male,06-02-2025,23-02-2025,Monthly,Auto-Renew,Low,Renewed
8252,Angela Baird,alex53@richards.com,26,Male,23-02-2025,01-03-2025,Annual,Auto-Renew,Medium,Renewed
6500,Christine Martinez,david41@mcgrath.com,31,Female,06-05-2023,01-11-2023,Monthly,Auto-Renew,Low,Not Renewed
6500,Christine Martinez,david41@mcgrath.com,31,Female,01-11-2023,27-09-2024,Annual,Manual,High,Renewed
6500,Christine Martinez,david41@mcgrath.com,31,Female,27-09-2024,08-03-2025,Quarterly,Auto-Renew,Low,Not Renewed
6500,Christine Martinez,david41@mcgrath.com,31,Female,08-03-2025,17-03-2025,Annual,Manual,Low,Not Renewed
6500,Christine Martinez,david41@mcgrath.com,31,Female,17-03-2025,18-03-2025,Quarterly,Manual,Low,Not Renewed
9039,Brian Fox,igross@gmail.com,51,Male,19-04-2024,19-09-2024,Annual,Auto-Renew,Low,Renewed
9039,Brian Fox,igross@gmail.com,51,Male,19-09-2024,25-10-2024,Annual,Auto-Renew,Medium,Renewed
2154,Kaitlin Richard,lvalencia@torres.com,35,Female,01-11-2023,21-05-2024,Annual,Manual,High,Renewed
6896,Catherine Donovan,ccollins@reid-holt.com,46,Male,03-05-2023,19-07-2024,Quarterly,Auto-Renew,High,Renewed
6896,Catherine Donovan,ccollins@reid-holt.com,46,Male,19-07-2024,23-08-2024,Monthly,Auto-Renew,High,Renewed
6896,Catherine Donovan,ccollins@reid-holt.com,46,Male,23-08-2024,27-09-2024,Quarterly,Manual,Medium,Renewed
6896,Catherine Donovan,ccollins@reid-holt.com,46,Male,27-09-2024,12-02-2025,Monthly,Auto-Renew,Low,Not Renewed
6896,Catherine Donovan,ccollins@reid-holt.com,46,Male,12-02-2025,01-03-2025,Monthly,Manual,Medium,Renewed
4380,Alexa Collins,bhardin@ball.com,25,Female,14-08-2022,18-10-2022,Quarterly,Manual,High,Renewed
4380,Alexa Collins,bhardin@ball.com,25,Female,18-10-2022,24-07-2024,Quarterly,Manual,High,Not Renewed
4380,Alexa Collins,bhardin@ball.com,25,Female,24-07-2024,23-01-2025,Annual,Manual,High,Renewed
1104,Brooke Sanford,jeffrey82@yahoo.com,26,Female,02-12-2023,28-11-2024,Monthly,Auto-Renew,Medium,Renewed
1104,Brooke Sanford,jeffrey82@yahoo.com,26,Female,28-11-2024,08-01-2025,Monthly,Manual,Low,Renewed
1104,Brooke Sanford,jeffrey82@yahoo.com,26,Female,08-01-2025,16-01-2025,Annual,Auto-Renew,Low,Renewed
1104,Brooke Sanford,jeffrey82@yahoo.com,26,Female,16-01-2025,21-01-2025,Monthly,Manual,Low,Renewed
5852,Christine Howard,bridgetsavage@hotmail.com,23,Male,10-06-2023,28-03-2024,Monthly,Auto-Renew,Low,Renewed
5852,Christine Howard,bridgetsavage@hotmail.com,23,Male,28-03-2024,16-06-2024,Quarterly,Manual,Medium,Renewed
5852,Christine Howard,bridgetsavage@hotmail.com,23,Male,16-06-2024,20-01-2025,Monthly,Auto-Renew,Low,Not Renewed
5852,Christine Howard,bridgetsavage@hotmail.com,23,Male,20-01-2025,13-02-2025,Annual,Auto-Renew,Medium,Renewed
6919,Cynthia Underwood MD,andresbowers@gmail.com,58,Female,05-06-2022,19-03-2025,Annual,Manual,Medium,Not Renewed
6919,Cynthia Underwood MD,andresbowers@gmail.com,58,Female,19-03-2025,20-03-2025,Quarterly,Manual,Medium,Renewed
6919,Cynthia Underwood MD,andresbowers@gmail.com,58,Female,20-03-2025,20-03-2025,Annual,Manual,Low,Renewed
6919,Cynthia Underwood MD,andresbowers@gmail.com,58,Female,20-03-2025,21-03-2025,Quarterly,Manual,Low,Renewed
7385,Anthony Greene,danielspeter@cruz-ortiz.org,48,Male,17-04-2024,18-02-2025,Quarterly,Auto-Renew,Low,Renewed
7385,Anthony Greene,danielspeter@cruz-ortiz.org,48,Male,18-02-2025,15-03-2025,Monthly,Manual,Medium,Not Renewed
7385,Anthony Greene,danielspeter@cruz-ortiz.org,48,Male,15-03-2025,20-03-2025,Quarterly,Manual,Medium,Renewed
8006,Jennifer Allen,rickyford@yahoo.com,29,Female,29-11-2024,22-12-2024,Quarterly,Auto-Renew,High,Not Renewed
8006,Jennifer Allen,rickyford@yahoo.com,29,Female,22-12-2024,13-03-2025,Annual,Manual,Medium,Not Renewed
1976,Bradley Hayes,anthonyritter@hotmail.com,18,Male,14-05-2024,27-10-2024,Quarterly,Auto-Renew,High,Not Renewed
1976,Bradley Hayes,anthonyritter@hotmail.com,18,Male,27-10-2024,19-12-2024,Annual,Auto-Renew,Medium,Renewed
1976,Bradley Hayes,anthonyritter@hotmail.com,18,Male,19-12-2024,31-01-2025,Monthly,Auto-Renew,High,Renewed
1976,Bradley Hayes,anthonyritter@hotmail.com,18,Male,31-01-2025,14-03-2025,Monthly,Manual,Medium,Renewed
1976,Bradley Hayes,anthonyritter@hotmail.com,18,Male,14-03-2025,21-03-2025,Monthly,Manual,Medium,Renewed
6114,Kevin Smith,clopez@yahoo.com,64,Female,30-11-2024,14-01-2025,Monthly,Auto-Renew,High,Renewed
8620,Douglas Riley,jwalker@hall.com,23,Male,14-05-2022,03-08-2023,Annual,Manual,Medium,Renewed
8620,Douglas Riley,jwalker@hall.com,23,Male,03-08-2023,23-12-2024,Annual,Auto-Renew,Low,Renewed
8620,Douglas Riley,jwalker@hall.com,23,Male,23-12-2024,24-12-2024,Quarterly,Auto-Renew,Medium,Renewed
5097,Brandy Hodges,gmills@henry.com,25,Female,29-01-2023,19-01-2024,Annual,Manual,Low,Renewed
5097,Brandy Hodges,gmills@henry.com,25,Female,19-01-2024,13-06-2024,Monthly,Manual,Low,Renewed
5097,Brandy Hodges,gmills@henry.com,25,Female,13-06-2024,09-02-2025,Annual,Manual,High,Not Renewed
4450,Dean Marks,gailparker@arnold.com,25,Female,12-07-2023,06-11-2024,Monthly,Auto-Renew,Low,Renewed
4450,Dean Marks,gailparker@arnold.com,25,Female,06-11-2024,20-03-2025,Quarterly,Manual,Low,Renewed
5712,Jackson Walker,dbrooks@yahoo.com,18,Male,04-01-2023,05-11-2023,Monthly,Auto-Renew,Low,Renewed
5712,Jackson Walker,dbrooks@yahoo.com,18,Male,05-11-2023,21-02-2025,Quarterly,Manual,Medium,Renewed
5712,Jackson Walker,dbrooks@yahoo.com,18,Male,21-02-2025,03-03-2025,Annual,Auto-Renew,High,Not Renewed
5712,Jackson Walker,dbrooks@yahoo.com,18,Male,03-03-2025,16-03-2025,Annual,Auto-Renew,High,Renewed
3446,Paul Schroeder,sjoyce@smith.net,49,Male,18-07-2024,14-03-2025,Quarterly,Auto-Renew,High,Renewed
7052,Alexandra Johnson,hudsondaniel@hotmail.com,20,Female,07-05-2022,21-12-2023,Quarterly,Manual,Low,Renewed
